Date,Month,Case,Rainfall,Temperature,Humidity,Wind
01-01-2020,J,3,0,21.6,67.5,1
02-01-2020,J,17,2,21.8,73.5,1.5
03-01-2020,J,20,18,19.8,90.5,5
04-01-2020,J,39,0,20.5,82,0.5
05-01-2020,J,45,0.3,19.6,73.5,2
06-01-2020,J,51,0,18.1,75,3.5
07-01-2020,J,64,0,15.1,83.5,0
08-01-2020,J,66,0,17.3,85.5,0
09-01-2020,J,76,0.3,18.3,78.5,0.5
10-01-2020,J,82,0,19.4,77.5,2
11-01-2020,J,94,0,15.6,91,0
12-01-2020,J,97,0,15.4,92.5,3
13-01-2020,J,107,0,17.9,85,0
14-01-2020,J,108,0,18.4,91.5,0
15-01-2020,J,112,0,20.1,86.5,1.5
16-01-2020,J,112,0,21.4,85.5,1
17-01-2020,J,112,0,22.4,72.5,2
18-01-2020,J,114,0,22.8,69,1.5
19-01-2020,J,118,0,22.2,79,2
20-01-2020,J,119,0,20,69,2
21-01-2020,J,123,0,18.6,62,0.5
22-01-2020,J,125,0,19.3,55.5,2
23-01-2020,J,128,0,18.6,60.5,0.5
24-01-2020,J,128,0,18.9,59.5,1.5
25-01-2020,J,131,0,17.9,53,1.5
26-01-2020,J,131,0,18.2,60,2.5
27-01-2020,J,139,0,17.9,67.5,1.5
28-01-2020,J,142,0.3,18.3,70.5,1
29-01-2020,J,142,1,18.8,80,0
30-01-2020,J,145,0,20.5,81,1
31-01-2020,J,147,0,21,85,1.5
02-01-2020,F,147,0,20.5,59,2
02-02-2020,F,149,0,18.75,44,4
02-03-2020,F,153,0,17.65,40.5,2
02-04-2020,F,158,0,19.35,52.5,2
02-05-2020,F,159,0,20.4,44.5,5
02-06-2020,F,159,0,20.15,42,3.5
02-07-2020,F,161,0,19.75,48.5,2.5
02-08-2020,F,161,0.3,20.75,53,0.5
02-09-2020,F,162,0,22,55,1
02-10-2020,F,164,0,21.25,50.5,2
02-11-2020,F,165,0,20.85,51,2
02-12-2020,F,167,0,21.75,47.5,1
2/13/2020,F,168,0,21.25,46.5,3.5
2/14/2020,F,169,0,20.5,59.5,1.5
2/15/2020,F,171,0,23.3,68,0.5
2/16/2020,F,172,0,23.35,60,1.5
2/17/2020,F,173,0,22.4,60,0.5
2/18/2020,F,176,0,22.5,63.5,1.5
2/19/2020,F,177,0,22.85,53.5,0.5
2/20/2020,F,177,0,23.5,59,1.5
2/21/2020,F,177,0,23.9,64,2.5
2/22/2020,F,177,0,24.5,67.5,3
2/23/2020,F,179,0,25.25,46,2
2/24/2020,F,179,0.3,23.65,64,2
2/25/2020,F,180,1,22,74.5,3.5
2/26/2020,F,180,0.3,22.15,68.5,5.5
2/27/2020,F,181,0,21.35,58,4
2/28/2020,F,181,0,23.5,49,4
2/29/2020,F,182,0,24.8,45.5,3
03-01-2020,M,184,0,25,48,0
03-02-2020,M,184,0,25.1,54,5
03-03-2020,M,184,14,23.55,69.5,3.5
03-04-2020,M,186,12,25.5,53.5,1.5
03-05-2020,M,186,0,24.4,61,4.5
03-06-2020,M,186,0.3,25.15,61.5,1.5
03-07-2020,M,187,0.3,24.7,76,0
03-08-2020,M,187,1,24.75,72.5,2.5
03-09-2020,M,188,0,23.75,50.5,3.5
03-10-2020,M,190,0,23.8,45.5,3.5
03-11-2020,M,193,0,25.15,41,2
03-12-2020,M,198,0,27.05,51,1.5
3/13/2020,M,198,0,28.25,51.5,4.5
3/14/2020,M,200,0,28.35,56,11.5
3/15/2020,M,200,0,26.35,59,6.5
3/16/2020,M,201,0,27.05,51,4
3/17/2020,M,201,0,26.95,40.5,4
3/18/2020,M,201,0,26.5,40.5,2.5
3/19/2020,M,203,0,26.1,41,4
3/20/2020,M,203,3,28.2,47,2
3/21/2020,M,204,0,26.65,49.5,3
3/22/2020,M,205,0,25.55,62.5,5
3/23/2020,M,206,0,25.05,53.5,2.5
3/24/2020,M,206,0,26.9,50,2.5
3/25/2020,M,206,0,27.15,47,3.5
3/26/2020,M,206,0,28.95,55,4
3/27/2020,M,206,0,29.9,38.5,5.5
3/28/2020,M,206,0,29.85,45.5,6
3/29/2020,M,207,0,30.2,33,4
3/30/2020,M,208,0,29.25,32.5,7
3/31/2020,M,208,0,28.7,27,4
04-01-2020,A,208,0,28.9,46,5
04-02-2020,A,208,2,31.6,63.5,5.5
04-03-2020,A,208,0,29.85,63.5,3
04-04-2020,A,208,0,29.9,58.5,4.5
04-05-2020,A,208,0,30.5,67,4.5
04-06-2020,A,211,0,30.1,45.5,4.5
04-07-2020,A,211,0,31.1,55.5,10.5
04-08-2020,A,217,0.3,29.05,79.5,6
04-09-2020,A,217,0,30.2,55.5,6.5
04-10-2020,A,217,0,30.1,49.5,5
04-11-2020,A,218,2,31.5,56.5,2
04-12-2020,A,219,0.3,26.15,65,7.5
4/13/2020,A,221,0,28.95,50.5,1.5
4/14/2020,A,223,0,31.15,65,4.5
4/15/2020,A,224,3,30.2,72.5,10
4/16/2020,A,225,0,27.65,60.5,2
4/17/2020,A,225,0,29.45,76.5,4
4/18/2020,A,226,5,29.9,71.5,7
4/19/2020,A,226,3,28.1,57.5,6
4/20/2020,A,226,0.3,26.85,74,6.5
4/21/2020,A,227,1,27.1,74.5,4.5
4/22/2020,A,227,0.3,28.2,66,4.5
4/23/2020,A,227,47,28.05,86,5.5
4/24/2020,A,227,20,26.45,83.5,6.5
4/25/2020,A,227,0.3,26.5,88,1.5
4/26/2020,A,227,40,26.8,79,3
4/27/2020,A,227,0,26.45,69.5,0
4/28/2020,A,229,4,26.9,89.5,3
4/29/2020,A,230,0,26.7,75.5,0
4/30/2020,A,231,1,27.6,78.5,8.5
05-01-2020,M,231,12,26.2,86,0.5
05-02-2020,M,231,10,26.05,81.5,14
05-03-2020,M,231,0,27.85,72.5,7.5
05-04-2020,M,232,0,29.25,71.5,10
05-05-2020,M,232,0.3,31.1,69.5,7.5
05-06-2020,M,232,18,26.65,86.5,8.5
05-07-2020,M,232,15,28.05,67.5,12.5
05-08-2020,M,232,12,27.15,70,10.5
05-09-2020,M,232,0,28.8,69.5,6.5
05-10-2020,M,232,4,30.45,53.5,13.5
05-11-2020,M,232,0,29.35,68,18
05-12-2020,M,233,0,31.05,56.5,13.5
5/13/2020,M,234,19,31.75,79,7
5/14/2020,M,234,1,29.75,79.5,18
5/15/2020,M,234,5,30.1,85.5,13
5/16/2020,M,235,0,30.45,76,12
5/17/2020,M,235,0,31.05,76.5,6.5
5/18/2020,M,235,0,32.3,60,12
5/19/2020,M,235,7,31.95,78.5,11
5/20/2020,M,236,74,27.15,90.5,19
5/21/2020,M,236,1,27.7,86.5,32
5/22/2020,M,236,0,28.45,85,23
5/23/2020,M,236,0,30.25,79,18
5/24/2020,M,236,0,30.4,79,20.5
5/25/2020,M,237,0,30.9,76.5,0
5/26/2020,M,237,63,30.2,79.5,17.5
5/27/2020,M,238,56,24.15,98,15.5
5/28/2020,M,238,0.3,26.2605,79.5,16
5/29/2020,M,238,0.3,29,84.5,17.5
5/30/2020,M,239,3,27.5,84.5,10.5
5/31/2020,M,239,0,30.3,71.5,15
06-01-2020,J,239,1,30.3,57.5,15.5
06-02-2020,J,239,0,30.8,65.5,10.5
06-03-2020,J,239,22,30.3,75,18
06-04-2020,J,239,40,30.35,86,15
06-05-2020,J,239,10,29,80.5,13
06-06-2020,J,239,2,30.2,84,14
06-07-2020,J,239,0,31.15,68,19
06-08-2020,J,240,3,30.6,76.5,10.5
06-09-2020,J,241,5,31.6,69.5,3.5
06-10-2020,J,242,2,30.15,81,1
06-11-2020,J,243,3,29.2,86,12
06-12-2020,J,243,13,29.4,83.5,12.5
6/13/2020,J,243,22,27.45,92.5,16.5
6/14/2020,J,243,5,30.15,74,19.5
6/15/2020,J,243,0,30.85,75.5,18
6/16/2020,J,244,4,30.8,78,23.5
6/17/2020,J,244,24,27.9,92,20.5
6/18/2020,J,244,6,28.95,90,18
6/19/2020,J,244,89,28.6,84.5,13
6/20/2020,J,246,1,29.75,77,20
6/21/2020,J,247,5,28.85,86,16.5
6/22/2020,J,247,0.3,30.1,78,19
6/23/2020,J,249,0,30.8,76.5,17
6/24/2020,J,249,0,32.05,74,15.5
6/25/2020,J,252,0,31.6,72.5,14.5
6/26/2020,J,252,0,31,73,19.5
6/27/2020,J,252,0.3,30.6,98,21
6/28/2020,J,253,14,27.25,79.5,14
6/29/2020,J,253,0,29.35,80.5,18
6/30/2020,J,257,0.3,30.55,80.5,17
07-01-2020,J,257,0,31.9,70.5,6
07-02-2020,J,257,0,31.85,73.5,5
07-03-2020,J,257,0,31.95,73.5,4
07-04-2020,J,257,24,31.1,85,3.5
07-05-2020,J,258,13,28.9,79.5,5.5
07-06-2020,J,258,4,29.6,83,8.5
07-07-2020,J,258,1,30.25,83,8.5
07-08-2020,J,258,0,30.85,78.5,8
07-09-2020,J,260,22,31.35,89.5,9.5
07-10-2020,J,260,0,30.25,83,10
07-11-2020,J,260,30,30.05,94,6.5
07-12-2020,J,261,24,28.6,94.5,7
7/13/2020,J,263,0.3,29.25,81.5,3.5
7/14/2020,J,263,4,29.4,87,4
7/15/2020,J,263,0,30.1,83,6
7/16/2020,J,264,0.3,30.75,73,6
7/17/2020,J,264,10,30.4,92,6
7/18/2020,J,264,20,30.5,87,6
7/19/2020,J,266,19,30.25,78.5,8.5
7/20/2020,J,266,87,27.65,95.5,6
7/21/2020,J,267,43,27.1,91.5,6.5
7/22/2020,J,267,46,27.7,91.5,4.5
7/23/2020,J,267,0.3,29.2,78.5,5
7/24/2020,J,268,0.3,29.85,86,6
7/25/2020,J,270,0,30.65,72.5,4
7/26/2020,J,271,0,31.25,77,1.5
7/27/2020,J,271,0,31.3,83,5.5
7/28/2020,J,273,42,30.1,84,5.5
7/29/2020,J,275,15,27.55,91,6
7/30/2020,J,277,0.3,30.3,74.5,5
7/31/2020,J,277,0.3,31.45,90.5,2
08-01-2020,A,277,20,31.45,81,2
08-02-2020,A,282,18,31.2,91.5,0
08-03-2020,A,283,10,31.55,78,4
08-04-2020,A,283,26,30.8,85.5,4
08-05-2020,A,289,2,30.8,76,5
08-06-2020,A,289,7,30.35,79.5,4.5
08-07-2020,A,293,5,31,87,6
08-08-2020,A,294,0.3,31.05,81,5.5
08-09-2020,A,296,4,30.3,80,7
08-10-2020,A,296,0.3,30.9,75.5,5.5
08-11-2020,A,300,0.3,31.75,78,7.5
08-12-2020,A,305,16,31.15,76.5,7.5
8/13/2020,A,306,0,31,73,3
8/14/2020,A,311,1,31.6,70.5,4.5
8/15/2020,A,312,12,29,86,11
8/16/2020,A,316,35,28.65,94,10.5
8/17/2020,A,318,4,29.05,85,9
8/18/2020,A,320,1,29.8,89.5,7
8/19/2020,A,321,2,29.45,84,7.5
8/20/2020,A,322,18,26.85,94,7
8/21/2020,A,324,23,27.75,96,6.5
8/22/2020,A,327,29,27.45,94.5,6.5
8/23/2020,A,332,23,28.7,96.5,4
8/24/2020,A,333,4,30.05,83.5,2
8/25/2020,A,336,1,29.65,81.5,3.5
8/26/2020,A,337,0.3,29,72,12
8/27/2020,A,339,11,30.25,83,6
8/28/2020,A,340,12,29.95,79.5,7
8/29/2020,A,340,1,29.9,75,4.5
8/30/2020,A,340,0,31.15,75.5,5
8/31/2020,A,343,0,31.6,78.5,0.5
09-01-2020,S,339,29,29.3,95.5,2
09-02-2020,S,341,0,30.25,79,2.5
09-03-2020,S,343,0,31.2,65.5,1
09-04-2020,S,344,0,31.95,66.5,1.5
09-05-2020,S,347,0,31.9,69,3.5
09-06-2020,S,350,0,31.55,70,5
09-07-2020,S,352,0.3,31.6,79.5,4
09-08-2020,S,356,0.3,30.7,82.5,4
09-09-2020,S,357,16,30.65,80,1.5
09-10-2020,S,358,2,29.15,82,1.5
09-11-2020,S,358,8,29.65,73.5,4
09-12-2020,S,358,0,30.45,77,3.5
9/13/2020,S,359,9,30.95,85,1.5
9/14/2020,S,359,0.3,30.3,78,0.5
9/15/2020,S,360,0,30.75,76.5,3
9/16/2020,S,361,0,30.9,81,4
9/17/2020,S,361,2,31.25,81,5.5
9/18/2020,S,362,3,30.35,84.5,6
9/19/2020,S,362,0,31.7,63,1.5
9/20/2020,S,364,6,32.7,73,4
9/21/2020,S,365,2,29.5,73.5,2.5
9/22/2020,S,366,1,29.7,86.5,4.5
9/23/2020,S,369,23,29.1,87.5,5.5
9/24/2020,S,369,27,28.5,88,10
9/25/2020,S,369,5,29.4,86.5,6
9/26/2020,S,372,7,29.35,85.5,6
9/27/2020,S,376,0,28.85,81,7
9/28/2020,S,377,0,29.7,75.5,10
9/29/2020,S,377,0.3,30.1,81,0.5
9/30/2020,S,381,0,30.95,75,0
10-01-2020,O,386,26,29.85,83,2
10-02-2020,O,388,0.3,29.9,84.5,3
10-03-2020,O,392,0,29.8,70.5,3
10-04-2020,O,394,8,30.5,73,0.5
10-05-2020,O,396,5,29.65,77,1.5
10-06-2020,O,400,15,29.7,79,3.5
10-07-2020,O,403,23,30,85.5,4.5
10-08-2020,O,405,2,29.9,84.5,0
10-09-2020,O,406,0,30.95,71,1
10-10-2020,O,410,1,31.35,73.5,2.5
10-11-2020,O,416,0.3,31.5,77,0
10-12-2020,O,419,57,30.35,83,2.5
10/13/2020,O,421,0.3,29.65,75,1
10/14/2020,O,428,23,30,84.5,1.5
10/15/2020,O,431,0,29.85,76,0
10/16/2020,O,432,0,31.25,69,1.5
10/17/2020,O,440,0,31.05,60.5,2
10/18/2020,O,442,0.3,30.7,78.5,2
10/19/2020,O,445,0.3,30.6,80.5,1
10/20/2020,O,453,9,30.5,79.5,1.5
10/21/2020,O,460,46,29,93.5,1.5
10/22/2020,O,466,44,26.3,90,1
10/23/2020,O,474,38,24.7,98,4
10/24/2020,O,479,1,25.5,94,7
10/25/2020,O,488,0,28.05,83.5,5.5
10/26/2020,O,491,0,28.05,73.5,3.5
10/27/2020,O,500,0,28.4,71.5,2.5
10/28/2020,O,510,0,28.7,69,1.5
10/29/2020,O,517,0,29.1,67.5,1
10/30/2020,O,529,1,30.65,63.5,0
10/31/2020,O,540,1,27.85,82.5,0
11-01-2020,N,555,36,28.4,90,0.5
11-02-2020,N,563,0,27.6,85,2.5
11-03-2020,N,576,0.3,28.3,82.5,0.5
11-04-2020,N,585,0,27.6,58,0.5
11-05-2020,N,595,0,26,52.5,2.5
11-06-2020,N,607,0,24.5,70.5,1.5
11-07-2020,N,622,0,24.9,69.5,1.5
11-08-2020,N,645,0,26.55,65,1
11-09-2020,N,650,0,26.3,59.5,0.5
11-10-2020,N,669,0,27,58.5,2.5
11-11-2020,N,694,0,34,52,0.5
11-12-2020,N,713,0,27.4,63,1
11/13/2020,N,726,0,27.7,65,2.5
11/14/2020,N,745,0,27.5,54,2.5
11/15/2020,N,763,0,27.2,71.5,1.5
11/16/2020,N,780,0,25.05,62.5,0
11/17/2020,N,799,0,26.15,64,1
11/18/2020,N,815,0,25.1,61,0
11/19/2020,N,841,0,25.2,73,0
11/20/2020,N,855,3,25.5,81,0
11/21/2020,N,875,0.3,24.35,89.5,0
11/22/2020,N,894,0,24.05,49.5,1.5
11/23/2020,N,908,0,21.95,56,2.5
11/24/2020,N,924,0,22.25,70.5,0.5
11/25/2020,N,945,0,22.7,65,1
11/26/2020,N,963,0,22.1,68.5,1
11/27/2020,N,974,0,22.55,65,0
28/11/202,N,1000,0,23.6,66,1.5
11/29/2020,N,1016,0,23.55,58.5,2.5
11/30/2020,N,1033,0,24.55,64.5,2
12-01-2020,D,1053,0,23.75,67.5,1
12-02-2020,D,1066,0,23.8,67.5,0.5
12-03-2020,D,1078,0,23.45,65.5,0.5
12-04-2020,D,1085,0,23.05,65.5,0
12-05-2020,D,1105,0,22.75,76.5,0
12-06-2020,D,1110,0,23.1,80.5,0
12-07-2020,D,1127,0,23.4,88,0
12-08-2020,D,1141,0,22.4,93.5,1
12-09-2020,D,1150,0,19.9,92,0
12-10-2020,D,1157,0,20.05,91,0
12-11-2020,D,1160,0,19.15,76.5,1.5
12-12-2020,D,1166,0,19.55,71.5,0.5
12/13/2020,D,1171,0,20.75,65,1
12/14/2020,D,1179,0,21.7,66,0.5
12/15/2020,D,1182,0,20.4,67.5,1.5
12/16/2020,D,1184,0,22.15,68,1.5
12/17/2020,D,1188,0,21.25,71,0.5
12/18/2020,D,1190,0,20.65,83.5,1.5
12/19/2020,D,1198,0,18.75,94,1.5
